division,esquema,clave_original,codigo_postal,nombre_original,fecha_extraccion
DES,MASIVO,MASS000400,77793,NUEVA 889,2024-08-05
DES,MASIVO,MASS000401,15139,SECTOR 506,2025-04-20
DES,MASIVO,MASS000402,24582,COMERCIAL 235,2024-09-21
DES,MASIVO,MASS000403,39850,JARDINES DE 127,2025-05-12
DES,MASIVO,MASS000404,13658,CONJUNTO HABITACIONAL 654,2025-03-23
DES,MASIVO,MASS000405,40507,SECTOR 357,2024-11-19
DES,MASIVO,MASS000406,28795,CENTRO 839,2025-01-01
DES,MASIVO,MASS000407,84626,CENTRO 794,2024-10-02
DES,MASIVO,MASS000408,25051,  AMPLIACION 837  ,2025-02-20
DES,MASIVO,MASS000409,41178,SAN 69,2024-06-27
DES,MASIVO,MASS000410,72183,  ZONA 9  ,2024-12-28
DES,MASIVO,MASS000411,90076,SECTOR 826,2024-09-15
DES,MASIVO,MASS000412,40227,LOTE 139,2024-08-25
DES,MASIVO,MASS000413,82477,AMPLIACION 251,2024-06-13
DES,MASIVO,MASS000414,73564,UNIDAD HABITACIONAL 624,2024-12-06
DES,MASIVO,MASS000415,42888,ZONA 575,2024-12-16
DES,MASIVO,MASS000416,90321,MANZANA 974,2025-04-19
DES,MASIVO,MASS000417,17585,RESIDENCIAL 587,2024-07-09
DES,MASIVO,MASS000418,24320,AMPLIACION 917,2024-10-23
DES,MASIVO,MASS000419,44248,INDUSTRIAL 856,2024-07-09
DES,MASIVO,MASS000420,83413,AMPLIACION 926,2024-09-14
DES,MASIVO,MASS000421,33301,VILLAS DE 925,2024-06-12
DES,MASIVO,MASS000422,55258,BARRIO 519,2024-09-12
DES,MASIVO,MASS000423,90114,JARDINES DE 718,2024-11-04
DES,MASIVO,MASS000424,55011,RINCON DE 176,2024-07-23
DES,MASIVO,MASS000425,11297,SANTA 391,2024-12-17
DES,MASIVO,MASS000426,96712,AMPLIACION 468,2024-05-28
DES,MASIVO,MASS000427,56752,CONJUNTO HABITACIONAL 191,2024-08-04
DES,MASIVO,MASS000428,58468,COMERCIAL 820,2025-03-04
DES,MASIVO,MASS000429,86074,AMPLIACION 889,2024-09-03
DES,MASIVO,MASS000430,83255,SANTA 446,2024-07-23
DES,MASIVO,MASS000431,88283,LOMAS DE 631,2025-02-19
DES,MASIVO,MASS000432,88460,VILLAS DE 414,2025-02-08
DES,MASIVO,MASS000433,87759,RESIDENCIAL 429,2024-07-12
DES,MASIVO,MASS000434,41875,SANTA 530,2025-01-18
DES,MASIVO,MASS000435,44081,BARRIO 74,2024-10-18
DES,MASIVO,MASS000436,31192,ZONA 3,2025-01-07
DES,MASIVO,MASS000437,13591,ZONA 541,2025-05-16
DES,MASIVO,MASS000438,88503,AMPLIACION 568,2024-07-23
DES,MASIVO,MASS000439,94205,VIEJA 82,2024-08-16
DES,MASIVO,MASS000440,48767,NUEVA 479,2025-03-28
DES,MASIVO,MASS000441,17093,JARDINES DE 441,2024-10-01
DES,MASIVO,MASS000442,89116,SAN 735,2024-09-03
DES,MASIVO,MASS000443,12801,LOMAS DE 307,2024-12-20
DES,MASIVO,MASS000444,21062,RINCON DE 363,2024-07-27
DES,MASIVO,MASS000445,34661,RESIDENCIAL 336,2024-07-27
DES,MASIVO,MASS000446,13903,BARRIO 451,2024-08-08
DES,MASIVO,MASS000447,22689,RINCON DE 601_123,2024-09-01
DES,MASIVO,MASS000448,32911,UNIDAD HABITACIONAL 568,2025-04-29
DES,MASIVO,MASS000449,67366,SAN 47,2024-12-07
DES,MASIVO,MASS000450,13371,JARDINES DE 507,2024-10-12
DES,MASIVO,MASS000451,84297,SAN 189,2024-08-22
DES,MASIVO,MASS000452,30806,MANZANA 131,2025-05-06
DES,MASIVO,MASS000453,55127,ZONA 268,2025-03-13
DES,MASIVO,MASS000454,40526,LOMAS DE 461,2025-02-03
DES,MASIVO,MASS000455,25811,RESIDENCIAL 208,2024-10-19
DES,MASIVO,MASS000456,64024,RINCON DE 589,2024-11-10
DES,MASIVO,MASS000457,43006,CONJUNTO HABITACIONAL 307,2025-02-05
DES,MASIVO,MASS000458,33442,VILLAS DE 320,2024-10-30
DES,MASIVO,MASS000459,50240,CONJUNTO HABITACIONAL 314,2025-02-09
DES,MASIVO,MASS000460,37931,LOMAS DE 195,2024-07-04
DES,MASIVO,MASS000461,47070,SANTA 174,2025-05-01
DES,MASIVO,MASS000462,70063,CENTRO 329,2024-12-01
DES,MASIVO,MASS000463,72632,NUEVA 914,2024-06-10
DES,MASIVO,MASS000464,64738,MANZANA 46,2024-08-24
DES,MASIVO,MASS000465,99177,COMERCIAL 304,2024-12-23
DES,MASIVO,MASS000466,67894,VIEJA 510,2024-09-01
DES,MASIVO,MASS000467,39120,BARRIO 998,2024-09-14
DES,MASIVO,MASS000468,31224,ZONA 688,2024-06-21
DES,MASIVO,MASS000469,38972,COMERCIAL 722,2025-04-01
DES,MASIVO,MASS000470,48306,MANZANA 513,2024-08-08
DES,MASIVO,MASS000471,30587,LOTE 130,2025-01-19
DES,MASIVO,MASS000472,76184,AMPLIACION 92,2024-09-28
DES,MASIVO,MASS000473,11484,RINCON DE 823,2024-10-27
DES,MASIVO,MASS000474,50618,SANTA 387,2025-04-23
DES,MASIVO,MASS000475,61564,AMPLIACION 300,2025-04-12
DES,MASIVO,MASS000476,72144,MANZANA 26,2025-04-26
DES,MASIVO,MASS000477,94978,  UNIDAD HABITACIONAL 189  ,2025-03-06
DES,MASIVO,MASS000478,59707,NUEVA 776,2024-09-05
DES,MASIVO,MASS000479,70404,FRACCIONAMIENTO 845,2025-02-07
DES,MASIVO,MASS000480,15728,JARDINES DE 692,2025-03-18
DES,MASIVO,MASS000481,66131,RINCON DE 427,2025-01-13
DES,MASIVO,MASS000482,17539,CONJUNTO HABITACIONAL 479,2025-04-22
DES,MASIVO,MASS000483,49410,SAN 159,2025-02-10
DES,MASIVO,MASS000484,21941,RINCON DE 406,2024-12-11
DES,MASIVO,MASS000485,17010,SECTOR 908,2025-01-31
DES,MASIVO,MASS000486,43451,RINCON DE 385,2024-09-24
DES,MASIVO,MASS000487,89543,AMPLIACION 301,2024-09-29
DES,MASIVO,MASS000488,50250,VIEJA 797,2025-05-25
DES,MASIVO,MASS000489,11636,LOTE 812,2024-07-31
DES,MASIVO,MASS000490,48794,VILLAS DE 967,2024-06-11
DES,MASIVO,MASS000491,89652,INDUSTRIAL 11,2025-04-06
DES,MASIVO,MASS000492,88722,SANTA 330,2024-06-30
DES,MASIVO,MASS000493,82408,CENTRO 467,2024-10-23
DES,MASIVO,MASS000494,99879,SANTA 185,2024-11-20
DES,MASIVO,MASS000495,97845,FRACCIONAMIENTO 891,2024-12-27
DES,MASIVO,MASS000496,21976,VIEJA 859,2025-02-25
DES,MASIVO,MASS000497,73800,UNIDAD HABITACIONAL 243,2024-11-14
DES,MASIVO,MASS000498,49083,SANTA 114,2025-02-14
DES,MASIVO,MASS000499,81904,VILLAS DE 715,2025-05-13
